what,details
Langages,German (native language)
,English (fluent)
,Spanish (fluent) 
,"Italian (intermediate, lived in Rome in 2013/14)"
,French (intermediate)
,"Russian (elementary, lived in St. Petersburg in 2011)"
Digital skills ,Advanced (bayesian) statistical analysis and data visualisation in R
,R Markdown / Quarto
,"Programming of experiments in MATLAB, Python and PsychoPy"
,Git
,Moodle
,"Excel, Word, Powerpoint"
