Name of the funding sceme,Description,Year,Sum
Career Development Fund,Sole applicant: CDE-internal funding for shadowing more advanced researchers,2026,CHF 740
Transformation Stream,"Co-applicant: CDE-internal strategic funding instrument to create opportunities for teams to develop and test out new, innovative ideas. Title: ""From Field Work to Publications: AI, Ethics, and Innovation in Qualitative Research"" - one year project",2025,CHF 50000
Fund for the Promotion of Young Researchers,"Main applicant: Funding for organisation of an Agent-based-modelling workshop “Winterschool: Building Agent-Based Modelling Capacities for Sustainability Research""",2025,CHF 3865
COMET Career Programme,"Sole applicant: Funding for female researchers in successfully pursuing their academic careers: individually customised programme to enhance skills, know-how and motivation.",2024,CHF 3500
Fund for participation compensation,Sole applicant: Funding for PhD candidates to recompensate participants of experiments.,2022,CHF 2080
Promotion of Sustainable Development through Education (FNE),"Sole applicant: Funding for conception, implementation, and evaluation of a proseminar on psychology and sustainability.",2021,"12PP, approx. 17160 CHF"
Hilfsassistenszunterstützung für NachwuchswissenschaftlerInnen,Sole applicant: Funding for Support of junior researchers to hire a research assistant,2018,"9 PP, approx. 12510 CHF"
Doctoral students workshop,Main applicant: Fund of the Faculty of Human Sciences to organize a workshop on Bayesian multi-level models by Dr. Paul Bürkner.,2017,CHF 4550
